rat | Cheese:common
cave_rat | Cheese:common, Worm:uncommon, Cookie:rare
wolf | Meat:common, Wolf Paw:rare
bug | Cherry:semi-rare
troll | Hand Axe:uncommon, Leather Boots:uncommon, Leather Helmet:uncommon, Meat:uncommon, Rope:uncommon, Spear:uncommon, Studded Club:semi-rare, Wooden Shield:semi-rare, Heavy Old Tome:semi-rare, Silver Amulet:very rare
swamp_troll | Fish:common, Leather Boots:uncommon, Mouldy Cheese:uncommon, Spear:uncommon, Torch:uncommon, Swamp Grass:semi-rare, Wood:semi-rare, Medicine Pouch:semi-rare, Fishing Rod:very rare
troll_trained_salamander | Insectoid Eggs:common, Simple Arrow:common, Meat:common, Chain Helmet:common, Axe:common, Bone Club:semi-rare, Short Sword:semi-rare, Studded Helmet:semi-rare, Poison Arrow:semi-rare, Shovel:rare, Health Potion:rare
dawnfly | Simple Arrow:common, Poison Arrow:common, Simple Jo Staff:semi-rare, Doublet:semi-rare, Mana Potion:semi-rare, Health Potion:semi-rare
woodling | White Mushroom:common, Simple Arrow:common, Rope:common, Studded Armor:semi-rare, Hatchet:semi-rare, Studded Shield:semi-rare
meadow_strider | Meat:common, Fish:common, Worm:common, Mace:common, Longsword:common, Hatchet:common, Rope:semi-rare
elf | Arrow:common, Leather Boots:common, Longsword:common, Plate Shield:common, Plum:common, Studded Armor:common, Studded Helmet:common, Elvish Talisman:semi-rare
elf_scout | Arrow:common, Grapes:common, Poison Arrow:common, Elvish Talisman:common, Bow:semi-rare, Waterskin:rare, Sandals:rare, Elvish Bow:very rare
elf_arcanist | Scroll:common, Melon:common, Blank Rune:common, Bread:common, Elvish Talisman:common, Green Tunic:common, Arrow:common, Health Potion:semi-rare, Strong Mana Potion:semi-rare, Candlestick:semi-rare, Holy Orchid:semi-rare, Elven Amulet:semi-rare, Wand of Cosmic Energy:rare, Inkwell:rare, Sandals:rare, Life Crystal:rare, Yellow Gem:very rare
